,Players,Values,links
0,Neymar,£199.80m,https://www.transfermarkt.com/neymar/profil/spieler/68290
1,Ousmane Dembélé,£124.20m,https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230
2,Kylian Mbappé,£121.50m,https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229
3,João Félix,£113.40m,https://www.transfermarkt.com/joao-felix/profil/spieler/462250
4,Antoine Griezmann,£108.00m,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781
5,Cristiano Ronaldo,£105.30m,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198
6,Eden Hazard,£103.50m,https://www.transfermarkt.com/eden-hazard/profil/spieler/50202
7,Gareth Bale,£90.90m,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381
8,Cristiano Ronaldo,£84.60m,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198
9,Gonzalo Higuaín,£81.00m,https://www.transfermarkt.com/gonzalo-higuain/profil/spieler/39153
10,Neymar,£79.38m,https://www.transfermarkt.com/neymar/profil/spieler/68290
11,Romelu Lukaku,£76.23m,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341
12,Luis Suárez,£73.55m,https://www.transfermarkt.com/luis-suarez/profil/spieler/44352
13,Nicolas Pépé,£72.00m,https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052
14,Ángel Di María,£67.50m,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
15,Romelu Lukaku,£66.60m,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341
16,Thomas Lemar,£63.00m,https://www.transfermarkt.com/thomas-lemar/profil/spieler/205562
17,Zlatan Ibrahimovic,£62.55m,https://www.transfermarkt.com/zlatan-ibrahimovic/profil/spieler/3455
18,Riyad Mahrez,£61.02m,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424
19,Diego Costa,£59.40m,https://www.transfermarkt.com/diego-costa/profil/spieler/44779
20,Álvaro Morata,£59.40m,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223
21,Edinson Cavani,£58.05m,https://www.transfermarkt.com/edinson-cavani/profil/spieler/48280
22,Christian Pulisic,£57.60m,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
23,Pierre-Emerick Aubameyang,£57.38m,https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864
24,Raheem Sterling,£57.33m,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425
25,Ángel Di María,£56.70m,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
26,Luka Jovic,£54.00m,https://www.transfermarkt.com/luka-jovic/profil/spieler/257462
27,Anthony Martial,£54.00m,https://www.transfermarkt.com/anthony-martial/profil/spieler/182877
28,Luís Figo,£54.00m,https://www.transfermarkt.com/luis-figo/profil/spieler/3446
29,Fernando Torres,£52.65m,https://www.transfermarkt.com/fernando-torres/profil/spieler/7767
30,Hernán Crespo,£51.13m,https://www.transfermarkt.com/hernan-crespo/profil/spieler/3410
31,Álvaro Morata,£50.40m,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223
32,Hulk,£50.22m,https://www.transfermarkt.com/hulk/profil/spieler/80562
33,Antoine Griezmann,£48.60m,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781
34,Timo Werner,£47.70m,https://www.transfermarkt.com/timo-werner/profil/spieler/170527
35,Alexandre Lacazette,£47.70m,https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720
36,Leroy Sané,£46.80m,https://www.transfermarkt.com/leroy-sane/profil/spieler/192565
37,Mauro Icardi,£45.00m,https://www.transfermarkt.com/mauro-icardi/profil/spieler/68863
38,Victor Osimhen,£45.00m,https://www.transfermarkt.com/victor-osimhen/profil/spieler/401923
39,Sébastien Haller,£45.00m,https://www.transfermarkt.com/sebastien-haller/profil/spieler/181375
40,Bernardo Silva,£45.00m,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641
41,Alex Teixeira,£45.00m,https://www.transfermarkt.com/alex-teixeira/profil/spieler/66515
42,Christian Benteke,£41.85m,https://www.transfermarkt.com/christian-benteke/profil/spieler/50201
43,Christian Vieri,£41.83m,https://www.transfermarkt.com/christian-vieri/profil/spieler/5797
44,Leroy Sané,£40.50m,https://www.transfermarkt.com/leroy-sane/profil/spieler/192565
45,Rodrygo,£40.50m,https://www.transfermarkt.com/rodrygo/profil/spieler/412363
46,Vinícius Júnior,£40.50m,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998
47,Ronaldo,£40.50m,https://www.transfermarkt.com/ronaldo/profil/spieler/3140
48,Joelinton,£39.60m,https://www.transfermarkt.com/joelinton/profil/spieler/333241
49,Andriy Shevchenko,£39.49m,https://www.transfermarkt.com/andriy-shevchenko/profil/spieler/3522
50,Falcao,£38.70m,https://www.transfermarkt.com/falcao/profil/spieler/39152
51,Robinho,£38.70m,https://www.transfermarkt.com/robinho/profil/spieler/15511
52,Alexis Sánchez,£38.25m,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433
53,Patrik Schick,£37.80m,https://www.transfermarkt.com/patrik-schick/profil/spieler/242086
54,Mohamed Salah,£37.80m,https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455
55,Jackson Martínez,£37.80m,https://www.transfermarkt.com/jackson-martinez/profil/spieler/74418
56,Sadio Mané,£37.08m,https://www.transfermarkt.com/sadio-mane/profil/spieler/200512
57,Malcom,£36.90m,https://www.transfermarkt.com/malcom/profil/spieler/323704
58,Roberto Firmino,£36.90m,https://www.transfermarkt.com/roberto-firmino/profil/spieler/131789
59,Andy Carroll,£36.90m,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066
60,Hakim Ziyech,£36.00m,https://www.transfermarkt.com/hakim-ziyech/profil/spieler/217111
61,Malcom,£36.00m,https://www.transfermarkt.com/malcom/profil/spieler/323704
62,Wissam Ben Yedder,£36.00m,https://www.transfermarkt.com/wissam-ben-yedder/profil/spieler/146854
63,Douglas Costa,£36.00m,https://www.transfermarkt.com/douglas-costa/profil/spieler/75615
64,Gonçalo Guedes,£36.00m,https://www.transfermarkt.com/goncalo-guedes/profil/spieler/225122
65,Federico Bernardeschi,£36.00m,https://www.transfermarkt.com/federico-bernardeschi/profil/spieler/197300
66,Cédric Bakambu,£36.00m,https://www.transfermarkt.com/cedric-bakambu/profil/spieler/127048
67,Paulo Dybala,£36.00m,https://www.transfermarkt.com/paulo-dybala/profil/spieler/206050
68,Hulk,£36.00m,https://www.transfermarkt.com/hulk/profil/spieler/80562
69,Lucas Moura,£36.00m,https://www.transfermarkt.com/lucas-moura/profil/spieler/77100
70,Sergio Agüero,£36.00m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
71,Falcao,£36.00m,https://www.transfermarkt.com/falcao/profil/spieler/39152
72,David Villa,£36.00m,https://www.transfermarkt.com/david-villa/profil/spieler/7980
73,Marc Overmars,£36.00m,https://www.transfermarkt.com/marc-overmars/profil/spieler/3513
74,Richarlison,£35.28m,https://www.transfermarkt.com/richarlison/profil/spieler/378710
75,Michy Batshuayi,£35.10m,https://www.transfermarkt.com/michy-batshuayi/profil/spieler/179184
76,Gonzalo Higuaín,£35.10m,https://www.transfermarkt.com/gonzalo-higuain/profil/spieler/39153
77,Didier Drogba,£34.65m,https://www.transfermarkt.com/didier-drogba/profil/spieler/3924
78,Hirving Lozano,£34.20m,https://www.transfermarkt.com/hirving-lozano/profil/spieler/316889
79,Raúl Jiménez,£34.20m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
80,Felipe Anderson,£34.20m,https://www.transfermarkt.com/felipe-anderson/profil/spieler/159372
81,André Silva,£34.20m,https://www.transfermarkt.com/andre-silva/profil/spieler/198008
82,Diego Costa,£34.20m,https://www.transfermarkt.com/diego-costa/profil/spieler/44779
83,Dimitar Berbatov,£34.20m,https://www.transfermarkt.com/dimitar-berbatov/profil/spieler/65
84,Fernando Torres,£34.20m,https://www.transfermarkt.com/fernando-torres/profil/spieler/7767
85,Jackson Martínez,£33.39m,https://www.transfermarkt.com/jackson-martinez/profil/spieler/74418
86,Edin Dzeko,£33.30m,https://www.transfermarkt.com/edin-dzeko/profil/spieler/28396
87,Filippo Inzaghi,£32.54m,https://www.transfermarkt.com/filippo-inzaghi/profil/spieler/5821
88,Gabriel Batistuta,£32.54m,https://www.transfermarkt.com/gabriel-batistuta/profil/spieler/5959
89,Vitolo,£32.40m,https://www.transfermarkt.com/vitolo/profil/spieler/67082
90,Hernán Crespo,£32.40m,https://www.transfermarkt.com/hernan-crespo/profil/spieler/3410
91,Javier Saviola,£32.31m,https://www.transfermarkt.com/javier-saviola/profil/spieler/7611
92,Willian,£31.95m,https://www.transfermarkt.com/willian/profil/spieler/52769
93,Romelu Lukaku,£31.82m,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341
94,Nicolas Anelka,£31.50m,https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226
95,Dejan Kulusevski,£31.50m,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755
96,Shoya Nakajima,£31.50m,https://www.transfermarkt.com/shoya-nakajima/profil/spieler/188911
97,Krzysztof Piatek,£31.50m,https://www.transfermarkt.com/krzysztof-piatek/profil/spieler/327757
98,Eden Hazard,£31.50m,https://www.transfermarkt.com/eden-hazard/profil/spieler/50202
99,Willian,£31.50m,https://www.transfermarkt.com/willian/profil/spieler/52769
100,Karim Benzema,£31.50m,https://www.transfermarkt.com/karim-benzema/profil/spieler/18922
101,Arjen Robben,£31.50m,https://www.transfermarkt.com/arjen-robben/profil/spieler/4360
102,Nicolas Anelka,£31.05m,https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226
103,Alexis Sánchez,£30.60m,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433
104,Arda Turan,£30.60m,https://www.transfermarkt.com/arda-turan/profil/spieler/21369
105,Memphis Depay,£30.60m,https://www.transfermarkt.com/memphis-depay/profil/spieler/167850
106,Ayoze Pérez,£30.06m,https://www.transfermarkt.com/ayoze-perez/profil/spieler/246968
107,Carlos Bacca,£29.97m,https://www.transfermarkt.com/carlos-bacca/profil/spieler/119235
108,Ángel Di María,£29.70m,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
109,Wilfried Bony,£29.07m,https://www.transfermarkt.com/wilfried-bony/profil/spieler/81808
110,Gabriel Jesus,£28.80m,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205
111,Arkadiusz Milik,£28.80m,https://www.transfermarkt.com/arkadiusz-milik/profil/spieler/191891
112,André Schürrle,£28.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
113,Denílson,£28.35m,https://www.transfermarkt.com/denilson/profil/spieler/7660
114,Shaun Wright-Phillips,£28.35m,https://www.transfermarkt.com/shaun-wright-phillips/profil/spieler/3467
115,Christian Benteke,£28.08m,https://www.transfermarkt.com/christian-benteke/profil/spieler/50201
116,Trincão,£27.90m,https://www.transfermarkt.com/trincao/profil/spieler/412669
117,Juan Cuadrado,£27.90m,https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970
118,Antonio Cassano,£27.90m,https://www.transfermarkt.com/antonio-cassano/profil/spieler/5962
119,Robin van Persie,£27.63m,https://www.transfermarkt.com/robin-van-persie/profil/spieler/4380
120,Islam Slimani,£27.45m,https://www.transfermarkt.com/islam-slimani/profil/spieler/174915
121,Alex Iwobi,£27.36m,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631
122,Steven Bergwijn,£27.00m,https://www.transfermarkt.com/steven-bergwijn/profil/spieler/284165
123,Ismaïla Sarr,£27.00m,https://www.transfermarkt.com/ismaila-sarr/profil/spieler/410225
124,Gelson Martins,£27.00m,https://www.transfermarkt.com/gelson-martins/profil/spieler/257448
125,Keita Baldé,£27.00m,https://www.transfermarkt.com/keita-balde/profil/spieler/238752
126,Álvaro Morata,£27.00m,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223
127,Paco Alcácer,£27.00m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
128,Kévin Gameiro,£27.00m,https://www.transfermarkt.com/kevin-gameiro/profil/spieler/27389
129,André Schürrle,£27.00m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
130,Gonçalo Guedes,£27.00m,https://www.transfermarkt.com/goncalo-guedes/profil/spieler/225122
131,Douglas Costa,£27.00m,https://www.transfermarkt.com/douglas-costa/profil/spieler/75615
132,Rodrigo,£27.00m,https://www.transfermarkt.com/rodrigo/profil/spieler/131505
133,Heung-min Son,£27.00m,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845
134,Roberto Soldado,£27.00m,https://www.transfermarkt.com/roberto-soldado/profil/spieler/34870
135,Erik Lamela,£27.00m,https://www.transfermarkt.com/erik-lamela/profil/spieler/111630
136,Ezequiel Lavezzi,£27.00m,https://www.transfermarkt.com/ezequiel-lavezzi/profil/spieler/50570
137,Mario Gómez,£27.00m,https://www.transfermarkt.com/mario-gomez/profil/spieler/6288
138,Franck Ribéry,£27.00m,https://www.transfermarkt.com/franck-ribery/profil/spieler/22068
139,Gabriel Barbosa,£26.55m,https://www.transfermarkt.com/gabriel-barbosa/profil/spieler/244275
140,Mario Balotelli,£26.55m,https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146
141,Dimitri Payet,£26.37m,https://www.transfermarkt.com/dimitri-payet/profil/spieler/37647
142,Anthony Modeste,£26.10m,https://www.transfermarkt.com/anthony-modeste/profil/spieler/50512
143,Emmanuel Adebayor,£26.10m,https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883
144,Carlos Tévez,£26.10m,https://www.transfermarkt.com/carlos-tevez/profil/spieler/4276
145,Yannick Bolasie,£26.01m,https://www.transfermarkt.com/yannick-bolasie/profil/spieler/75471
146,Ruud van Nistelrooy,£25.65m,https://www.transfermarkt.com/ruud-van-nistelrooy/profil/spieler/3407
147,Christian Vieri,£25.56m,https://www.transfermarkt.com/christian-vieri/profil/spieler/5797
148,Lucas Moura,£25.56m,https://www.transfermarkt.com/lucas-moura/profil/spieler/77100
149,Márcio Amoroso,£25.20m,https://www.transfermarkt.com/marcio-amoroso/profil/spieler/1263
150,Ronaldo,£25.20m,https://www.transfermarkt.com/ronaldo/profil/spieler/3140
151,Borja Iglesias,£25.20m,https://www.transfermarkt.com/borja-iglesias/profil/spieler/278359
152,Álvaro Negredo,£25.20m,https://www.transfermarkt.com/alvaro-negredo/profil/spieler/18644
153,Diego Milito,£25.20m,https://www.transfermarkt.com/diego-milito/profil/spieler/22202
154,Kelechi Iheanacho,£24.93m,https://www.transfermarkt.com/kelechi-iheanacho/profil/spieler/295330
155,Moise Kean,£24.75m,https://www.transfermarkt.com/moise-kean/profil/spieler/364135
156,Pedro,£24.30m,https://www.transfermarkt.com/pedro/profil/spieler/65278
157,Samuel Eto'o,£24.30m,https://www.transfermarkt.com/samuel-etoo/profil/spieler/4257
158,Klaas-Jan Huntelaar,£24.30m,https://www.transfermarkt.com/klaas-jan-huntelaar/profil/spieler/4357
159,Samuel Eto'o,£24.30m,https://www.transfermarkt.com/samuel-etoo/profil/spieler/4257
160,Breel Embolo,£23.85m,https://www.transfermarkt.com/breel-embolo/profil/spieler/237662
161,Luis Suárez,£23.85m,https://www.transfermarkt.com/luis-suarez/profil/spieler/44352
162,Stevan Jovetic,£23.40m,https://www.transfermarkt.com/stevan-jovetic/profil/spieler/46104
163,Alexis Sánchez,£23.40m,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433
164,Hernán Crespo,£23.40m,https://www.transfermarkt.com/hernan-crespo/profil/spieler/3410
165,Vincenzo Montella,£23.24m,https://www.transfermarkt.com/vincenzo-montella/profil/spieler/5960
166,Thorgan Hazard,£22.95m,https://www.transfermarkt.com/thorgan-hazard/profil/spieler/102226
167,Nani,£22.95m,https://www.transfermarkt.com/nani/profil/spieler/33706
168,Márcio Amoroso,£22.95m,https://www.transfermarkt.com/marcio-amoroso/profil/spieler/1263
169,Marko Arnautovic,£22.50m,https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384
170,Rony Lopes,£22.50m,https://www.transfermarkt.com/rony-lopes/profil/spieler/174694
171,Wesley,£22.50m,https://www.transfermarkt.com/wesley/profil/spieler/381362
172,Lautaro Martínez,£22.50m,https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625
173,Andriy Yarmolenko,£22.50m,https://www.transfermarkt.com/andriy-yarmolenko/profil/spieler/69015
174,Jesé,£22.50m,https://www.transfermarkt.com/jese/profil/spieler/134936
175,Lazar Markovic,£22.50m,https://www.transfermarkt.com/lazar-markovic/profil/spieler/144303
176,Álvaro Negredo,£22.50m,https://www.transfermarkt.com/alvaro-negredo/profil/spieler/18644
177,Bernard,£22.50m,https://www.transfermarkt.com/bernard/profil/spieler/175169
178,Arjen Robben,£22.50m,https://www.transfermarkt.com/arjen-robben/profil/spieler/4360
179,Joaquín,£22.50m,https://www.transfermarkt.com/joaquin/profil/spieler/7663
180,Michael Owen,£22.50m,https://www.transfermarkt.com/michael-owen/profil/spieler/1397
181,Alberto Gilardino,£22.50m,https://www.transfermarkt.com/alberto-gilardino/profil/spieler/5878
182,Marcelo Salas,£22.50m,https://www.transfermarkt.com/marcelo-salas/profil/spieler/3415
183,Savo Milosevic,£22.50m,https://www.transfermarkt.com/savo-milosevic/profil/spieler/7896
184,Zlatan Ibrahimovic,£22.32m,https://www.transfermarkt.com/zlatan-ibrahimovic/profil/spieler/3455
185,Yannick Carrasco,£22.28m,https://www.transfermarkt.com/yannick-carrasco/profil/spieler/140776
186,Darren Bent,£22.28m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
187,Aleksandar Mitrovic,£22.23m,https://www.transfermarkt.com/aleksandar-mitrovic/profil/spieler/51152
188,Ricardo Quaresma,£22.14m,https://www.transfermarkt.com/ricardo-quaresma/profil/spieler/4188
189,Simone Verdi,£22.05m,https://www.transfermarkt.com/simone-verdi/profil/spieler/130360
190,Luis Muriel,£22.05m,https://www.transfermarkt.com/luis-muriel/profil/spieler/119228
191,Juan Iturbe,£22.05m,https://www.transfermarkt.com/juan-iturbe/profil/spieler/81455
192,André Ayew,£21.69m,https://www.transfermarkt.com/andre-ayew/profil/spieler/45403
193,Krzysztof Piatek,£21.60m,https://www.transfermarkt.com/krzysztof-piatek/profil/spieler/327757
194,Lucas Alario,£21.60m,https://www.transfermarkt.com/lucas-alario/profil/spieler/193782
195,Zlatan Ibrahimovic,£21.60m,https://www.transfermarkt.com/zlatan-ibrahimovic/profil/spieler/3455
196,Lisandro López,£21.60m,https://www.transfermarkt.com/lisandro-lopez/profil/spieler/27661
197,Robbie Keane,£21.60m,https://www.transfermarkt.com/robbie-keane/profil/spieler/3144
198,Jô,£21.60m,https://www.transfermarkt.com/jotm/profil/spieler/34156
